,Lot,Wafer,Mask,TestSite,Name,Date,Scrip ID,Script Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelengh,Rsq of Ref.spectrum(6th),Max transmission of Ref spec(dB),Rsq of IV,I at -1V[A],I at 1V[A],HyperLink
0,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_191538,process LMZ,0.1,B1,B1 team member,-1,-1,0,No Error,1550,0.9984335072394859,-7.706903457641602,0.9999999999995106,2.603237e-08,0.006701705,"=HYPERLINK(""../results/png_files/Analysis_D07_(-1,-1)_DCM_LMZC_20190715_191538.png"")"
1,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_192145,process LMZ,0.1,B1,B1 team member,-1,-3,0,No Error,1550,0.9972272306301133,-8.910146713256836,0.9999999999999868,4.890819e-08,0.006328398,"=HYPERLINK(""../results/png_files/Analysis_D07_(-1,-3)_DCM_LMZC_20190715_192145.png"")"
2,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_202217,process LMZ,0.1,B1,B1 team member,-1,3,0,No Error,1550,0.9971718132368342,-9.376518249511719,0.9999999999999496,4.591942e-08,0.006375596,"=HYPERLINK(""../results/png_files/Analysis_D07_(-1,3)_DCM_LMZC_20190715_202217.png"")"
3,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_195142,process LMZ,0.1,B1,B1 team member,-3,-3,0,No Error,1550,0.996162449635738,-8.18753433227539,0.9999999999998729,5.465495e-08,0.006316235,"=HYPERLINK(""../results/png_files/Analysis_D07_(-3,-3)_DCM_LMZC_20190715_195142.png"")"
4,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_193943,process LMZ,0.1,B1,B1 team member,-3,0,0,No Error,1550,0.9981042234887884,-8.77216625213623,0.9999999999996673,4.814727e-08,0.006532866,"=HYPERLINK(""../results/png_files/Analysis_D07_(-3,0)_DCM_LMZC_20190715_193943.png"")"
5,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_202835,process LMZ,0.1,B1,B1 team member,-3,2,0,No Error,1550,0.998876203129199,-9.400176048278809,0.9999999999998912,6.663287e-08,0.006519705,"=HYPERLINK(""../results/png_files/Analysis_D07_(-3,2)_DCM_LMZC_20190715_202835.png"")"
6,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_194543,process LMZ,0.1,B1,B1 team member,-4,-1,1,Rsq_Ref Error,1550,0.9951006054011255,-9.466469764709473,0.9999999999998718,7.783068e-08,0.006401758,"=HYPERLINK(""../results/png_files/Analysis_D07_(-4,-1)_DCM_LMZC_20190715_194543.png"")"
7,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_195751,process LMZ,0.1,B1,B1 team member,0,-4,0,No Error,1550,0.9971876210878702,-9.5784330368042,0.9999999999999071,6.760271e-08,0.006039913,"=HYPERLINK(""../results/png_files/Analysis_D07_(0,-4)_DCM_LMZC_20190715_195751.png"")"
8,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_190927,process LMZ,0.1,B1,B1 team member,0,0,0,No Error,1550,0.9985871289436661,-7.655776023864746,0.9999999999997753,8.955287e-09,0.006707282,"=HYPERLINK(""../results/png_files/Analysis_D07_(0,0)_DCM_LMZC_20190715_190927.png"")"
9,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_193343,process LMZ,0.1,B1,B1 team member,0,2,0,No Error,1550,0.9973771287835219,-7.897572994232178,0.9999999999997236,4.150557e-08,0.006591849,"=HYPERLINK(""../results/png_files/Analysis_D07_(0,2)_DCM_LMZC_20190715_193343.png"")"
10,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_192743,process LMZ,0.1,B1,B1 team member,2,-1,0,No Error,1550,0.9983006503437892,-8.010892868041992,0.9999999999999305,4.594612e-08,0.006384568,"=HYPERLINK(""../results/png_files/Analysis_D07_(2,-1)_DCM_LMZC_20190715_192743.png"")"
11,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_200355,process LMZ,0.1,B1,B1 team member,2,-3,0,No Error,1550,0.9982132601054344,-9.296346664428711,0.9999999999997847,6.184592e-08,0.006069297,"=HYPERLINK(""../results/png_files/Analysis_D07_(2,-3)_DCM_LMZC_20190715_200355.png"")"
12,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_201553,process LMZ,0.1,B1,B1 team member,2,2,0,No Error,1550,0.9967785257976151,-8.184820175170898,0.9999999999999218,4.804727e-08,0.006130083,"=HYPERLINK(""../results/png_files/Analysis_D07_(2,2)_DCM_LMZC_20190715_201553.png"")"
13,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_200955,process LMZ,0.1,B1,B1 team member,3,0,0,No Error,1550,0.9989505277918703,-8.617244720458984,0.9999999999994766,4.971618e-08,0.005950628,"=HYPERLINK(""../results/png_files/Analysis_D07_(3,0)_DCM_LMZC_20190715_200955.png"")"
14,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_092258,process LMZ,0.1,B1,B1 team member,-1,-1,0,No Error,1310,0.9989024617940857,-5.2746710777282715,0.9999999999998285,5.312546e-08,0.006792969,"=HYPERLINK(""../results/png_files/Analysis_D08_(-1,-1)_DCM_LMZO_20190526_092258.png"")"
15,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_095449,process LMZ,0.1,B1,B1 team member,-1,-3,0,No Error,1310,0.9994525291048274,-5.343724727630615,0.9999999999999535,6.287032e-08,0.006482825,"=HYPERLINK(""../results/png_files/Analysis_D08_(-1,-3)_DCM_LMZO_20190526_095449.png"")"
16,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_151412,process LMZ,0.1,B1,B1 team member,-1,3,0,No Error,1310,0.9993822904288474,-6.145711898803711,0.999999999999928,5.356805e-08,0.006656053,"=HYPERLINK(""../results/png_files/Analysis_D08_(-1,3)_DCM_LMZO_20190526_151412.png"")"
